hero
alive
break
buyback_cost
buyback_cooldown
disarmed
has_debuff
health
health_percent
hexed
id
level
magicimmune
mana
mana_percent
max_health
max_mana
muted
name
respawn_seconds
selected_unit
silenced
stunned
talent_1
talent_2
talent_3
talent_4
talent_5
talent_6
talent_7
talent_8
xpos
ypos
